City_ID,City,Country,Max Temp,Lat,Lng,Weather Description,Hotel Name
221,Pontes E Lacerda,BR,70.54,-15.2261,-59.3353,overcast clouds,Hotel Bressan
224,Caravelas,BR,70.86,-17.7125,-39.2481,overcast clouds,Pousada dos Navegantes
228,Caiaponia,BR,67.82,-16.9567,-51.8103,overcast clouds,HOTEL PALACE AVENIDA & CAIAPÓ TURISMO
232,Kasongo-Lunda,CD,67.75,-6.4667,16.8167,overcast clouds,
233,Simpang,ID,79.38,-1.2667,104.0833,overcast clouds,Budidaya Pembesaran Ikan
237,Lima,PE,66.45,-12.0432,-77.0282,clear sky,Hotel Kamana
238,Saint-Philippe,RE,80.19,-21.3585,55.7679,scattered clouds,Le four à pain
245,Mbandaka,CD,69.6,0.0487,18.2603,broken clouds,Guest House Epervier
248,Umm Lajj,SA,78.55,25.0213,37.2685,scattered clouds,Moon light Furnished Units
249,Kieta,PG,85.48,-6.2167,155.6333,scattered clouds,Uruna Bay Retreat
257,Lorengau,PG,83.34,-2.0226,147.2712,overcast clouds,Lorengau Harbourside Hotel
265,Port Augusta,AU,74.7,-32.5,137.7667,clear sky,Majestic Oasis Apartments
266,Kijini,TZ,76.73,-5.85,39.3167,clear sky,Green and Blue Ocean Lodge
267,Manavalakurichi,IN,83.84,8.1333,77.3,scattered clouds,Jebinrio home
269,Meulaboh,ID,83.23,4.1363,96.1285,scattered clouds,Kost Pria
272,Mazatlan,MX,72.01,23.2167,-106.4167,scattered clouds,Hotel La Siesta
274,Vao,NC,77.49,-22.6667,167.4833,scattered clouds,Hotel Kou-Bugny
275,Maiduguri,NG,65.16,11.8464,13.1603,clear sky,Kagel Mari Police Station
277,Sambava,MG,76.82,-14.2667,50.1667,overcast clouds,Melrose
278,Marigot,MF,80.38,18.0667,-63.0833,few clouds,"Sonesta Maho Beach Resort, Casino & Spa"
282,Kalmunai,LK,82.35,7.4167,81.8167,overcast clouds,VS Villa
