City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
136,Namibe,AO,-15.1961,12.1522,71.62,73,97,3.56,overcast clouds
137,Dikson,RU,73.5069,80.5464,-18.04,94,83,6.38,broken clouds
138,Hervey Bay,AU,-25.2986,152.8535,80.02,66,85,11.01,overcast clouds
139,Inhambane,MZ,-23.865,35.3833,77.0,73,40,14.0,scattered clouds
140,Callaway,US,30.153,-85.5699,60.85,81,20,3.44,few clouds
141,San Quintin,MX,30.4833,-115.95,59.9,64,34,6.89,scattered clouds
142,Boden,SE,65.8252,21.6886,5.0,85,79,3.47,broken clouds
143,San Isidro,PE,-12.1167,-77.05,67.59,80,0,9.22,clear sky
144,Necochea,AR,-38.5473,-58.7368,59.85,44,71,14.36,broken clouds
145,Dolinsk,RU,47.35,142.8,33.37,68,23,9.26,few clouds
146,Margate,GB,51.3813,1.3862,51.22,75,24,16.51,few clouds
147,Kuching,MY,1.55,110.3333,91.62,62,20,5.01,few clouds
148,Ribeira Grande,PT,38.5167,-28.7,60.78,81,100,1.99,overcast clouds
149,Upernavik,GL,72.7868,-56.1549,18.41,82,76,4.63,broken clouds
150,Lasa,IT,46.6166,10.7002,36.48,94,73,6.22,broken clouds
151,Puerto Ayora,EC,-0.7393,-90.3518,68.56,96,60,5.17,broken clouds
152,Kenai,US,60.5544,-151.2583,32.14,95,100,14.97,mist
153,Saldanha,ZA,-33.0117,17.9442,61.81,83,0,11.99,clear sky
154,Nome,US,64.5011,-165.4064,21.27,86,100,0.0,overcast clouds
155,Ngunguru,NZ,-35.6167,174.5,68.11,51,5,11.61,clear sky
156,Areka,ET,7.0667,37.7,62.78,52,31,7.0,scattered clouds
157,Tasiilaq,GL,65.6145,-37.6368,35.76,79,100,18.05,overcast clouds
158,Neiafu,TO,-18.65,-173.9833,81.28,83,75,10.36,broken clouds
159,Palmares Do Sul,BR,-30.2578,-50.5097,66.54,91,100,5.59,overcast clouds
160,Mumbwa,ZM,-14.9783,27.0619,69.93,77,99,5.06,overcast clouds
161,Tazmalt,DZ,36.3868,4.3989,57.36,67,91,5.68,overcast clouds
162,Moose Factory,CA,51.2585,-80.6094,8.6,85,0,5.75,clear sky
163,Choma,ZM,-16.8065,26.9531,69.01,71,93,5.06,overcast clouds
164,Kitgum,UG,3.2783,32.8867,67.59,86,90,3.94,light rain
165,Arklow,IE,52.7931,-6.1414,49.08,85,100,30.51,overcast clouds
166,Tiksi,RU,71.6872,128.8694,-23.98,100,98,3.8,overcast clouds
167,Pangkalanbuun,ID,-2.6833,111.6167,94.89,41,84,4.03,light rain
168,Leningradskiy,RU,69.3833,178.4167,-12.15,94,100,6.55,overcast clouds
169,Geraldton,AU,-28.7667,114.6,75.61,53,3,13.8,clear sky
170,Samarskoye,RU,46.9336,39.6814,45.84,74,36,13.73,scattered clouds
171,Dale,US,38.1689,-86.99,43.66,60,0,3.44,clear sky
172,Rawson,AR,-43.3002,-65.1023,68.32,45,71,17.2,broken clouds
173,Narsaq,GL,60.9167,-46.05,43.02,76,100,2.77,overcast clouds
174,Muravlenko,RU,63.7898,74.523,-20.09,97,44,9.46,scattered clouds
175,Kelo,TD,9.3086,15.8066,66.92,20,2,5.79,clear sky
176,Kutum,SD,14.2,24.6667,61.5,37,12,6.31,few clouds
177,Marrakesh,MA,31.6315,-8.0083,53.67,71,0,2.3,clear sky
178,Cabo San Lucas,MX,22.8909,-109.9124,72.52,76,37,8.03,scattered clouds
179,Vanimo,PG,-2.6741,141.3028,84.7,68,79,6.85,broken clouds
180,Nanortalik,GL,60.1432,-45.2371,31.96,87,100,6.53,overcast clouds
181,Ahuimanu,US,21.4447,-157.8378,78.51,70,20,13.8,few clouds
182,Airai,TL,-8.9266,125.4092,69.84,78,90,0.65,overcast clouds
183,Khandagayty,RU,50.7333,92.05,13.12,91,100,0.72,overcast clouds
184,Evensk,RU,61.95,159.2333,13.17,86,100,38.01,light snow
185,General Pico,AR,-35.6566,-63.7568,59.32,39,59,10.04,broken clouds
186,Tessalit,ML,20.1986,1.0114,69.71,18,100,9.98,overcast clouds
187,Las Vegas,US,36.175,-115.1372,53.08,28,0,8.05,clear sky
188,Verkhnyaya Sinyachikha,RU,57.976,61.6673,0.88,95,33,3.91,scattered clouds
189,Alice,US,27.7523,-98.0697,53.17,90,100,8.05,overcast clouds
190,Sistranda,NO,63.7256,8.834,39.16,57,100,33.64,overcast clouds
